name,county,acres,long,lat,year,date_end,date_start,days
Rancho Fire,Amador,372,-121.003611,38.385,2016,6/29/2016,6/28/2016,1.00
Howard Fire,Modoc,380,-120.9066,41.4657,2016,9/14/2016,9/11/2016,3.00
Beale Fire,Yuba,389,-121.38775,36.16965,2016,8/18/2016,8/18/2016,0.00
Tule Fire,Tulare,395,-118.73906,36.1648,2016,11/8/2016,8/22/2016,78.00
Willow Fire,Calaveras,450,-120.6381,38.1874,2016,8/31/2016,8/28/2016,3.00
Colyear Fire,Tehama,464,-122.56939,40.0353,2016,7/4/2016,6/30/2016,4.00
99 Fire,Butte,520,-121.7192,39.6708,2016,8/3/2016,8/2/2016,1.00
Fort Fire,Kern,554,118.9082,34.913,2016,7/10/2016,7/8/2016,2.00
Tully Fire,Humboldt,599,-123.82268,41.28486,2016,9/4/2016,8/22/2016,13.00
Range Fire,Kern,600,-118.7212,35.2013,2016,8/29/2016,8/26/2016,3.00
Marina Fire,Mono,650,-119.14,37.97,2016,7/9/2016,6/25/2016,14.00
Grade Fire,Siskiyou,710,-122.611,41.7813,2016,8/30/2016,8/24/2016,6.00
Saddle Fire,Butte,800,-121.571,39.6871,2016,9/12/2016,9/5/2016,7.00
Marshes Fire,Tuolumne,1080,-120.32484,37.79635,2016,10/4/2016,9/26/2016,8.00
Sage Fire,Los Angeles,1100,-118.57245,34.36763,2016,7/16/2016,7/9/2016,7.00
Roblar Fire,San Diego,1245,-117.35093,33.393,2016,7/30/2016,7/21/2016,9.00
Dinosaur Fire,Merced,1246,-121.20155,37.07147,2016,6/26/2016,6/25/2016,1.00
Sawmill Fire,Sonoma,1547,-122.82895,38.80017,2016,9/29/2016,9/25/2016,4.00
Deer Fire,Kern,1785,-118.72272,35.20993,2016,7/8/2016,7/1/2016,7.00
Sacata Fire,Fresno,2100,-119.25959,36.94536,2016,10/20/2016,10/11/2016,9.00
Goose Fire,Fresno,2241,-119.50507,37.01591,2016,8/9/2016,7/30/2016,10.00
Pine Fire,Ventura,2304,-119.144,34.701,2016,6/30/2016,6/30/2016,0.00
Coleman Fire,Monterey,2520,-121.25029,36.01542,2016,6/20/2016,6/4/2016,16.00
Willard Fire,Lassen,2575,-120.7845,40.3915,2016,9/22/2016,9/11/2016,11.00
Soup Complex,Modoc,2652,-120.3178,41.2649,2016,10/13/2016,9/17/2016,26.00
Pony Fire,Siskiyou,2860,-123.557,41.623,2016,11/8/2016,6/7/2016,154.00
Curry Fire,Fresno,2944,-120.452041,36.0749,2016,7/5/2016,7/1/2016,4.00
Metz Fire,Monterey,3876,-121.20059,36.38123,2016,5/25/2016,5/22/2016,3.00
Clayton Fire,Lake,3929,-122.60664,38.89741,2016,8/26/2016,8/13/2016,13.00
Meadow Fire,Tulare,4347,-118.551,35.984,2016,12/19/2016,10/29/2016,51.00
Loma Fire,Santa Clara,4474,-121.85318,37.10632,2016,10/12/2016,9/26/2016,16.00
Marek Fire,Los Angeles,4824,-118.335,34.31,2016,11/14/2016,11/14/2016,0.00
Owens River Fire,Inyo,5443,-118.95309,37.75985,2016,9/18/2016,9/17/2016,1.00
Trailhead Fire,"El Dorado, Placer",5645,-120.9375,38.96741,2016,7/18/2016,6/28/2016,20.00
Cold Fire,Yolo,5731,-122.06788,38.52513,2016,8/12/2016,8/2/2016,10.00
Mineral Fire,Fresno,7050,-120.51057,36.09974,2016,8/18/2016,8/8/2016,10.00
Sherpa Fire,Santa Barbara,7474,-119.643,34.776,2016,7/12/2016,6/15/2016,27.00
Border Fire,San Diego,7609,-116.63028,32.60729,2016,6/30/2016,6/19/2016,11.00
Pilot Fire,San Bernardino,8110,-117.27338,34.28771,2016,8/16/2016,8/7/2016,9.00
Canyon Fire,Santa Barbara,12518,-120.54421,34.63445,2016,9/27/2016,9/17/2016,10.00
Cedar Fire,Kern,29322,-118.5678,35.7506,2016,10/1/2016,8/16/2016,46.00
Gap Fire,Siskiyou,33867,-123.118,41.851,2016,8/28/2016,8/27/2016,1.00
Blue Cut Fire,San Bernardino,36274,-117.49342,34.30372,2016,8/23/2016,8/16/2016,7.00
Chimney Fire,San Luis Obispo,46235,-120.98316,35.70595,2016,9/6/2016,8/13/2016,24.00
Erskine Fire,Kern,48019,-118.45628,35.6115,2016,7/11/2016,6/23/2016,18.00
Soberanes Fire,Monterey,132127,-121.89938,36.45994,2016,10/13/2016,7/22/2016,83.00
Cristianitos Fire,San Diego,760,-117.58252,33.43513,2017,6/30/2017,6/28/2017,2.00
Salmon-August Complex,Siskiyou,65888,-123.474,41.841,2017,12/8/2017,6/25/2017,198.00
Soledad Fire,Monterey,10,-121.34695,36.44141,2017,1/9/2018,4/24/2017,260.00
Moreno Fire,Riverside,10,-117.17773,33.94673,2017,1/9/2018,5/23/2017,231.00
Champagne Fire,Kern,10,-118.35296,34.87128,2017,1/9/2018,5/28/2017,226.00
Twenty Fire,Yuba,10,-121.376,39.23205,2017,1/9/2018,5/29/2017,225.00
Shirleon Fire,Riverside,10,-116.88097,33.87107,2017,1/9/2018,6/4/2017,219.00
Pine Fire,Kern,10,-118.796513,35.564124,2017,1/9/2018,6/5/2017,218.00
Springs Fire,Riverside,10,33.939428,117.138741,2017,1/9/2018,6/16/2017,207.00
Lambs Fire,Riverside,10,-116.9669,33.90965,2017,1/9/2018,6/18/2017,205.00
Brewer Fire,Nevada,10,-121.06656,39.08382,2017,1/9/2018,7/2/2017,191.00
Canyon Fire,Riverside,10,-116.99321,33.91806,2017,1/9/2018,7/3/2017,190.00
North Fire,Shasta,10,-122.38619,40.48972,2017,1/9/2018,7/15/2017,178.00
Rebie Fire,Butte,10,-121.33785,39.50475,2017,1/9/2018,7/12/2017,181.00
Navajo Fire,Riverside,10,-117.24091,33.77896,2017,1/9/2018,7/13/2017,180.00
Grizzly Fire,Nevada,10,-120.97586,39.36902,2017,1/9/2018,7/21/2017,172.00
Rincon Fire,Los Angeles,10,-117.85182,34.23925,2017,1/9/2018,8/3/2017,159.00
Sandra Fire,Amador,10,-120.72274,38.34421,2017,1/9/2018,8/28/2017,134.00
Shaver Fire,Fresno,10,-119.32109,37.10067,2017,1/9/2018,9/11/2017,120.00
Dexter Fire,Mariposa,10,-120.15846,37.76888,2017,1/9/2018,9/20/2017,111.00
Freeway Fire,Tehama,10,-122.255,40.24789,2017,1/9/2018,10/8/2017,93.00
Lisa Fire,Riverside,11,-117.096233,33.913089,2017,1/9/2018,7/2/2017,191.00
Independence Fire,Sonoma,11,-122.90217,38.70289,2017,1/9/2018,7/31/2017,162.00
Jameson Fire,Riverside,12,-117.5048,33.7866,2017,1/9/2018,4/30/2017,254.00
Shandon Fire,San Luis Obispo,12,-120.3317,35.6879,2017,1/9/2018,5/7/2017,247.00
Taglio Fire,Merced,12,-121.07761,37.21812,2017,1/9/2018,12/31/2017,9.00
Pacific Fire,Butte,12,-121.60683,39.44257,2017,1/9/2018,9/12/2017,119.00
Silver Fire,San Bernardino,13,-117.3125,34.304722,2017,1/9/2018,7/4/2017,189.00
Rosado Fire,El Dorado,13,-121.06088,38.67474,2017,1/9/2018,7/12/2017,181.00
Woodland Fire,El Dorado,13,-120.73757,38.69775,2017,1/9/2018,7/25/2017,168.00
Milton Fire,Stanislaus,13,-120.84748,37.89532,2017,1/9/2018,10/18/2017,83.00
Moraga Fire,Riverside,14,-117.44148,33.97155,2017,1/9/2018,5/18/2017,236.00
Hog Fire,Monterey,14,-120.52508,35.80375,2017,1/9/2018,6/9/2017,214.00
Desabla Fire,Butte,14,-121.6268,39.8629,2017,1/9/2018,7/2/2017,191.00
Drum Fire,Santa Barbara,14,-120.27077,34.71796,2017,1/9/2018,12/16/2017,24.00
Coast Fire,Santa Barbara,14,-120.414875,34.605358,2017,1/9/2018,12/14/2017,26.00
66 Fire,Riverside,15,-116.08003,33.56777,2017,1/9/2018,4/13/2017,271.00
Lombardi Fire,Calaveras,15,-120.83484,38.19906,2017,1/9/2018,5/28/2017,226.00
Alvarado Fire,Monterey,15,-120.87492,35.947,2017,1/9/2018,6/28/2017,195.00
Centerville Fire,Modoc,15,-120.56933,41.45589,2017,1/9/2018,7/17/2017,176.00
Greenhorn Fire,Nevada,15,-120.95498,39.16826,2017,1/9/2018,7/27/2017,166.00
Paskenta Fire,Tehama,15,-122.5415,39.87983,2017,1/9/2018,8/10/2017,152.00
